id,date,description,amount,type,account,category,subcategory,is_pnl,confidence,reasoning,review_required,review_reason
T1061,2026-01-10,Equipment purchase - new oven (Restaurant Equipment World),7800.0,debit,Operating Checking (ACH),Non-P&L (Balance Sheet),Fixed Asset Capital Expenditure,False,0.95,"Commercial kitchen asset ($7,800) capitalized on the balance sheet. Excluded from P&L operating expenses per GAAP capitalization threshold rules.",True,"High-value capital asset ($7,800.00). Must be capitalized on Balance Sheet and depreciated over useful life rather than expensed directly."
T1056,2026-01-12,Utilities - electric/gas/water (City Utilities),2031.72,debit,Operating Checking (ACH),Operating Expenses,"Utilities - Gas, Electric & Water",True,0.98,"Commercial gas kitchen appliances, refrigeration electric, and water service.",False,
T1034,2026-01-13,Food inventory purchase - Butcher & Sons,4422.96,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Butcher & Sons.,False,
T1007,2026-01-15,POS batch deposit - food sales week 2 (Toast POS),18283.62,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1008,2026-01-15,POS batch deposit - beverage sales week 2 (Toast POS),5250.24,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1009,2026-01-15,Catering invoice payment week 2 (Corporate Catering Client),1987.27,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1042,2026-01-15,Beverage inventory purchase - Craft Beer Distributor,1858.49,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Craft Beer Distributor.,False,
T1046,2026-01-15,Payroll - hourly kitchen and FOH wages (Gusto Payroll),16360.64,debit,Operating Checking (ACH),Payroll,Hourly Kitchen & FOH Wages,True,0.99,"Bi-weekly payroll for line cooks, dishwashers, servers, and bartenders via Gusto.",False,
T1010,2026-01-16,Delivery marketplace payout week 2 (DoorDash/Uber Eats),4435.61,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1011,2026-01-16,Refunds and discounts week 2 (Toast POS),400.93,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1035,2026-01-16,Food inventory purchase - Bakery Supply,3735.86,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Bakery Supply.,False,
T1047,2026-01-16,Payroll taxes and benefits (Gusto Payroll),1892.64,debit,Operating Checking (ACH),Payroll,Payroll Taxes & Benefits,True,0.99,"Employer FICA, Medicare, state unemployment, and health benefits.",False,
T1057,2026-01-16,Cleaning and linen service (LinenPro),1193.59,debit,Operating Checking (ACH),Operating Expenses,Cleaning & Linen Services,True,0.98,"Commercial apron, bar towel laundry, and kitchen grease cleaning.",False,
T1012,2026-01-17,Delivery platform commission week 2 (DoorDash/Uber Eats),1110.33,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1036,2026-01-18,Food inventory purchase - Sysco,2286.92,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Sysco.,False,
T1058,2026-01-18,Marketing - local ads (Meta/Google/Yelp),2121.28,debit,Operating Checking (Card),Operating Expenses,Marketing & Local Ads,True,0.96,"Yelp, Meta, and Google Maps local patron acquisition campaigns.",False,
T1062,2026-01-20,Sales tax remittance (Florida Dept. of Revenue),6150.0,debit,Operating Checking (ACH),Non-P&L (Balance Sheet),Sales Tax Liability Remittance,False,0.98,"Remittance of sales tax collected in trust from patrons. Reduces balance sheet liability, not an operating expense.",True,"Sales tax remittance ($6,150.00). Confirmed pass-through liability discharge."
T1037,2026-01-21,Food inventory purchase - US Foods,4269.38,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from US Foods.,False,
T1013,2026-01-22,POS batch deposit - food sales week 3 (Toast POS),15647.22,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1014,2026-01-22,POS batch deposit - beverage sales week 3 (Toast POS),5406.76,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1015,2026-01-22,Catering invoice payment week 3 (Corporate Catering Client),909.4,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1045,2026-01-22,To-go packaging and disposables (Restaurant Depot),698.27,debit,Operating Checking (Card),Cost of Goods Sold,Packaging & To-Go Disposables,True,0.97,"Direct to-go containers, bags, and cutlery for takeout and delivery orders.",False,
T1059,2026-01-22,Repairs and maintenance (Kitchen Repair Co.),1256.72,debit,Operating Checking (Card),Operating Expenses,Repairs & Maintenance,True,0.96,"Walk-in cooler maintenance, kitchen exhaust servicing, and plumbing repairs.",False,
T1016,2026-01-23,Delivery marketplace payout week 3 (DoorDash/Uber Eats),5065.12,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1017,2026-01-23,Refunds and discounts week 3 (Toast POS),401.52,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1043,2026-01-23,Beverage inventory purchase - Beverage Depot,2691.48,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Beverage Depot.,False,
T1018,2026-01-24,Delivery platform commission week 3 (DoorDash/Uber Eats),1293.41,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1038,2026-01-24,Food inventory purchase - Local Produce Co.,4493.6,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Local Produce Co..,False,
T1060,2026-01-25,Office/admin supplies (Staples/Amazon),335.8,debit,Operating Checking (Card),Operating Expenses,Office & Admin Supplies,True,0.95,"Receipt paper, manager supplies, and printer toner.",False,
T1039,2026-01-27,Food inventory purchase - Butcher & Sons,3198.22,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Butcher & Sons.,False,
T1048,2026-01-28,Payroll - hourly kitchen and FOH wages (Gusto Payroll),15260.37,debit,Operating Checking (ACH),Payroll,Hourly Kitchen & FOH Wages,True,0.99,"Bi-weekly payroll for line cooks, dishwashers, servers, and bartenders via Gusto.",False,
T1050,2026-01-28,Manager salary payroll (Gusto Payroll),6500.0,debit,Operating Checking (ACH),Payroll,Management Salaries,True,0.99,Fixed monthly salary for General Manager and Head Chef.,False,
T1019,2026-01-29,POS batch deposit - food sales week 4 (Toast POS),18031.6,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1020,2026-01-29,POS batch deposit - beverage sales week 4 (Toast POS),5137.73,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1021,2026-01-29,Catering invoice payment week 4 (Corporate Catering Client),2384.22,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1049,2026-01-29,Payroll taxes and benefits (Gusto Payroll),1743.42,debit,Operating Checking (ACH),Payroll,Payroll Taxes & Benefits,True,0.99,"Employer FICA, Medicare, state unemployment, and health benefits.",False,
T1022,2026-01-30,Delivery marketplace payout week 4 (DoorDash/Uber Eats),5252.33,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1023,2026-01-30,Refunds and discounts week 4 (Toast POS),440.94,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1024,2026-01-31,Delivery platform commission week 4 (DoorDash/Uber Eats),1204.51,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1025,2026-01-31,POS batch deposit - food sales week 5 (Toast POS),7920.72,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1026,2026-01-31,POS batch deposit - beverage sales week 5 (Toast POS),2399.76,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1027,2026-01-31,Catering invoice payment week 5 (Corporate Catering Client),673.73,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1028,2026-01-31,Delivery marketplace payout week 5 (DoorDash/Uber Eats),1936.02,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1029,2026-01-31,Refunds and discounts week 5 (Toast POS),607.83,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1030,2026-01-31,Delivery platform commission week 5 (DoorDash/Uber Eats),496.05,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1040,2026-01-31,Food inventory purchase - Bakery Supply,3894.88,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Bakery Supply.,False,
T1107,2026-02-01,Rent (Landlord),9000.0,debit,Operating Checking (ACH),Operating Expenses,Rent & Facilities,True,0.99,Monthly commercial lease payment to landlord.,False,
T1087,2026-02-03,Food inventory purchase - Sysco,4797.2,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Sysco.,False,
T1108,2026-02-04,POS/software subscription (Toast),875.0,debit,Operating Checking (ACH/card),Operating Expenses,Software & POS Subscriptions,True,0.98,Toast restaurant POS platform SaaS licensing.,False,
T1109,2026-02-05,Insurance premium (Next Insurance),1250.0,debit,Operating Checking (ACH),Operating Expenses,Insurance Premium,True,0.98,"Commercial general liability, liquor liability, and property insurance.",False,
T1088,2026-02-06,Food inventory purchase - US Foods,4119.59,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from US Foods.,False,
T1097,2026-02-06,Beverage inventory purchase - Southern Glazer's,3316.87,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Southern Glazer's.,False,
T1110,2026-02-07,Accounting/bookkeeping (LedgerPro Bookkeeping),650.0,debit,Operating Checking (ACH),Operating Expenses,Professional & Bookkeeping,True,0.98,Monthly professional accounting and reconciliation services.,False,
T1063,2026-02-08,POS batch deposit - food sales week 1 (Toast POS),19049.34,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1064,2026-02-08,POS batch deposit - beverage sales week 1 (Toast POS),5539.24,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1065,2026-02-08,Catering invoice payment week 1 (Corporate Catering Client),1044.81,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1100,2026-02-08,To-go packaging and disposables (Restaurant Depot),1004.61,debit,Operating Checking (Card),Cost of Goods Sold,Packaging & To-Go Disposables,True,0.97,"Direct to-go containers, bags, and cutlery for takeout and delivery orders.",False,
T1066,2026-02-09,Delivery marketplace payout week 1 (DoorDash/Uber Eats),5726.56,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1067,2026-02-09,Refunds and discounts week 1 (Toast POS),490.41,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1111,2026-02-09,Internet and phone (Comcast Business),420.0,debit,Operating Checking (Card),Operating Expenses,Utilities - Telecom & Internet,True,0.98,Comcast fiber internet for POS terminal uptime and guest WiFi.,False,
T1068,2026-02-10,Delivery platform commission week 1 (DoorDash/Uber Eats),1282.59,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1089,2026-02-10,Food inventory purchase - Local Produce Co.,4029.59,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Local Produce Co..,False,
T1117,2026-02-11,Gift card sales deposit (Toast POS),2400.0,credit,Operating Checking (Bank deposit),Non-P&L (Balance Sheet),Deferred Revenue (Gift Cards),False,0.78,"Upfront gift card cash receipt. Under GAAP, recognized as Deferred Revenue Liability until redeemed by customer.",True,"Gift card deposit ($2,400.00). Requires judgment: recognize as current revenue or defer as unearned liability."
T1112,2026-02-12,Utilities - electric/gas/water (City Utilities),2086.3,debit,Operating Checking (ACH),Operating Expenses,"Utilities - Gas, Electric & Water",True,0.98,"Commercial gas kitchen appliances, refrigeration electric, and water service.",False,
T1090,2026-02-13,Food inventory purchase - Butcher & Sons,3406.7,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Butcher & Sons.,False,
T1069,2026-02-15,POS batch deposit - food sales week 2 (Toast POS),19518.56,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1070,2026-02-15,POS batch deposit - beverage sales week 2 (Toast POS),6299.96,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1071,2026-02-15,Catering invoice payment week 2 (Corporate Catering Client),2439.71,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1102,2026-02-15,Payroll - hourly kitchen and FOH wages (Gusto Payroll),17375.9,debit,Operating Checking (ACH),Payroll,Hourly Kitchen & FOH Wages,True,0.99,"Bi-weekly payroll for line cooks, dishwashers, servers, and bartenders via Gusto.",False,
T1072,2026-02-16,Delivery marketplace payout week 2 (DoorDash/Uber Eats),4956.41,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1073,2026-02-16,Refunds and discounts week 2 (Toast POS),524.73,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1091,2026-02-16,Food inventory purchase - Bakery Supply,3834.43,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Bakery Supply.,False,
T1098,2026-02-16,Beverage inventory purchase - Craft Beer Distributor,2074.1,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Craft Beer Distributor.,False,
T1103,2026-02-16,Payroll taxes and benefits (Gusto Payroll),2116.96,debit,Operating Checking (ACH),Payroll,Payroll Taxes & Benefits,True,0.99,"Employer FICA, Medicare, state unemployment, and health benefits.",False,
T1113,2026-02-16,Cleaning and linen service (LinenPro),1025.54,debit,Operating Checking (ACH),Operating Expenses,Cleaning & Linen Services,True,0.98,"Commercial apron, bar towel laundry, and kitchen grease cleaning.",False,
T1074,2026-02-17,Delivery platform commission week 2 (DoorDash/Uber Eats),1353.5,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1092,2026-02-18,Food inventory purchase - Sysco,4272.82,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Sysco.,False,
T1114,2026-02-18,Marketing - local ads (Meta/Google/Yelp),2383.96,debit,Operating Checking (Card),Operating Expenses,Marketing & Local Ads,True,0.96,"Yelp, Meta, and Google Maps local patron acquisition campaigns.",False,
T1093,2026-02-21,Food inventory purchase - US Foods,4276.96,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from US Foods.,False,
T1118,2026-02-21,Loan principal repayment (Bank Loan),3500.0,debit,Operating Checking (ACH),Non-P&L (Balance Sheet),Debt Principal Repayment,False,0.99,Bank loan principal paydown. Reduces debt liability on Balance Sheet.,False,
T1075,2026-02-22,POS batch deposit - food sales week 3 (Toast POS),18642.84,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1076,2026-02-22,POS batch deposit - beverage sales week 3 (Toast POS),5668.59,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1077,2026-02-22,Catering invoice payment week 3 (Corporate Catering Client),737.83,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1101,2026-02-22,To-go packaging and disposables (Restaurant Depot),763.85,debit,Operating Checking (Card),Cost of Goods Sold,Packaging & To-Go Disposables,True,0.97,"Direct to-go containers, bags, and cutlery for takeout and delivery orders.",False,
T1115,2026-02-22,Repairs and maintenance (Kitchen Repair Co.),2142.27,debit,Operating Checking (Card),Operating Expenses,Repairs & Maintenance,True,0.96,"Walk-in cooler maintenance, kitchen exhaust servicing, and plumbing repairs.",False,
T1078,2026-02-23,Delivery marketplace payout week 3 (DoorDash/Uber Eats),5648.49,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1079,2026-02-23,Refunds and discounts week 3 (Toast POS),538.64,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1080,2026-02-24,Delivery platform commission week 3 (DoorDash/Uber Eats),1495.84,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1099,2026-02-24,Beverage inventory purchase - Beverage Depot,2971.53,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Beverage Depot.,False,
T1094,2026-02-25,Food inventory purchase - Local Produce Co.,4528.94,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Local Produce Co..,False,
T1116,2026-02-25,Office/admin supplies (Staples/Amazon),502.18,debit,Operating Checking (Card),Operating Expenses,Office & Admin Supplies,True,0.95,"Receipt paper, manager supplies, and printer toner.",False,
T1081,2026-02-28,POS batch deposit - food sales week 4 (Toast POS),17948.13,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1082,2026-02-28,POS batch deposit - beverage sales week 4 (Toast POS),6324.3,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
T1083,2026-02-28,Catering invoice payment week 4 (Corporate Catering Client),2048.2,credit,Operating Checking (ACH deposit),Revenue,Corporate Catering Revenue,True,0.97,Corporate client catering invoice settlement.,False,
T1084,2026-02-28,Delivery marketplace payout week 4 (DoorDash/Uber Eats),5976.52,credit,Operating Checking (ACH deposit),Revenue,Third-Party Delivery Sales,True,0.98,DoorDash and Uber Eats online customer order settlement payouts.,False,
T1085,2026-02-28,Refunds and discounts week 4 (Toast POS),398.42,debit,Operating Checking (POS adjustment),Revenue,Refunds & Customer Discounts,True,0.98,"Contra-revenue deduction for customer meal comps, refunds, and promo discounts.",False,
T1086,2026-02-28,Delivery platform commission week 4 (DoorDash/Uber Eats),1491.81,debit,Operating Checking (Marketplace deduction),Cost of Goods Sold,Delivery Marketplace Commissions,True,0.99,Interchange and 20-30% marketplace merchant commissions deducted by DoorDash / Uber Eats.,False,
T1095,2026-02-28,Food inventory purchase - Butcher & Sons,2623.5,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Butcher & Sons.,False,
T1096,2026-02-28,Food inventory purchase - Bakery Supply,2758.66,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Bakery Supply.,False,
T1104,2026-02-28,Payroll - hourly kitchen and FOH wages (Gusto Payroll),17022.99,debit,Operating Checking (ACH),Payroll,Hourly Kitchen & FOH Wages,True,0.99,"Bi-weekly payroll for line cooks, dishwashers, servers, and bartenders via Gusto.",False,
T1105,2026-02-28,Payroll taxes and benefits (Gusto Payroll),1855.14,debit,Operating Checking (ACH),Payroll,Payroll Taxes & Benefits,True,0.99,"Employer FICA, Medicare, state unemployment, and health benefits.",False,
T1106,2026-02-28,Manager salary payroll (Gusto Payroll),6500.0,debit,Operating Checking (ACH),Payroll,Management Salaries,True,0.99,Fixed monthly salary for General Manager and Head Chef.,False,
T1169,2026-03-01,Rent (Landlord),9000.0,debit,Operating Checking (ACH),Operating Expenses,Rent & Facilities,True,0.99,Monthly commercial lease payment to landlord.,False,
T1149,2026-03-03,Food inventory purchase - Sysco,3246.78,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from Sysco.,False,
T1170,2026-03-04,POS/software subscription (Toast),875.0,debit,Operating Checking (ACH/card),Operating Expenses,Software & POS Subscriptions,True,0.98,Toast restaurant POS platform SaaS licensing.,False,
T1171,2026-03-05,Insurance premium (Next Insurance),1250.0,debit,Operating Checking (ACH),Operating Expenses,Insurance Premium,True,0.98,"Commercial general liability, liquor liability, and property insurance.",False,
T1179,2026-03-06,Large catering event food purchase (Sysco),6200.0,debit,Operating Checking (ACH),Cost of Goods Sold,Food Inventory (COGS),True,0.82,"Bulk food inventory purchase ($6,200.00) from Sysco for large March catering event. Primary driver of food cost variance.",True,"High-value catering food purchase ($6,200.00). Confirmed as direct food COGS for event."
T1150,2026-03-07,Food inventory purchase - US Foods,2597.1,debit,Operating Checking (ACH/card),Cost of Goods Sold,Food Inventory (COGS),True,0.98,Direct food raw material purchase from US Foods.,False,
T1159,2026-03-07,Beverage inventory purchase - Southern Glazer's,3358.84,debit,Operating Checking (ACH/card),Cost of Goods Sold,Beverage Inventory (COGS),True,0.98,Bar and liquor inventory restocking from Southern Glazer's.,False,
T1172,2026-03-07,Accounting/bookkeeping (LedgerPro Bookkeeping),650.0,debit,Operating Checking (ACH),Operating Expenses,Professional & Bookkeeping,True,0.98,Monthly professional accounting and reconciliation services.,False,
T1119,2026-03-08,POS batch deposit - food sales week 1 (Toast POS),20350.64,credit,Operating Checking (Bank deposit),Revenue,Dine-In & Takeout Food Sales,True,0.99,Toast POS weekly batch deposit for in-restaurant food sales.,False,
T1120,2026-03-08,POS batch deposit - beverage sales week 1 (Toast POS),6801.35,credit,Operating Checking (Bank deposit),Revenue,Beverage & Bar Sales,True,0.99,"Toast POS weekly batch deposit for bar, wine, and beer sales.",False,
